respondent_id,submission_time,duration_seconds,age_group,gender,emirate,nationality,income,occupation,formal_attire_freq,occasions,accessories_purchased,purchase_freq,buy_location,shopping_channel,spend_tie,spend_socks,main_influence,imp_fabric_quality,imp_design,imp_pricing,imp_brand_rep,imp_comfort,imp_durability,imp_variety,imp_sustainability,brands_purchased,loyalty_factor,willing_try_new,convince_try,purchase_likelihood_6m,saturn_consideration,most_important_feature
R3242,2025-02-12 20:28,531,25–34,Male,Umm Al Quwain,Arab Expat,"10,001–20,000",Self-employed,Rarely,Office; Weddings; Parties; Formal Dinners,Ties; Pocket Squares; Dress Socks; Cufflinks,Every 6 months,Tailor/Boutique,Online,AED 101–200,AED 25–50,Price,3,5,3,3,5,4,3,3,H&M; Massimo Dutti,Customer Service,Probably,Influencer Recommendations; Word of Mouth; Money-back Guarantee,Unlikely,Probably Would Not,Premium fabric quality
R1362,2025-03-20 06:15,341,18–24,Male,Abu Dhabi,Emirati,"10,001–20,000",Private Employee,Daily,Office; Weddings; Parties; Religious Events,Handkerchiefs,Monthly,Department Store,Physical Store,AED 50–100,AED 25–50,Fabric Quality,3,5,3,2,5,4,3,4,Massimo Dutti; Charles Tyrwhitt,Quality,Not Sure,Premium Quality; Word of Mouth,Neutral,Not Sure,Premium fabric quality
R2057,2025-02-23 21:54,396,25–34,Female,Dubai,Arab Expat,"10,001–20,000",Government Employee,Rarely,Office; Weddings; Parties; Religious Events; Formal Dinners,Ties; Pocket Squares; Handkerchiefs; Belts,Every 6 months,Online Marketplace,Online,AED 201–300,Under AED 25,Fabric Quality,4,4,5,2,5,5,4,2,Zara; H&M; Massimo Dutti; Brooks Brothers,Quality,Probably,Introductory Discounts; Social Media Reviews; Word of Mouth,Neutral,Not Sure,Good customer service
R3820,2025-02-16 03:02,476,25–34,Male,Dubai,European,"20,001–35,000",Private Employee,Once a week,Weddings; Business Meetings; Parties; Religious Events,Ties; Pocket Squares; Dress Socks; Handkerchiefs,Monthly,Shopping Mall,Online,AED 201–300,AED 25–50,Price,3,4,4,5,4,5,3,2,Zara,Price,Not Sure,Introductory Discounts; Word of Mouth; Money-back Guarantee,Likely,Probably Would,Exclusive limited editions
R1684,2025-02-12 18:18,455,35–44,Male,Dubai,South Asian,"Above 35,000",Private Employee,Rarely,Office; Weddings; Parties; Formal Dinners,Pocket Squares; Dress Socks; Belts,Once a year,Tailor/Boutique,Physical Store,AED 201–300,AED 25–50,Design,5,3,5,5,4,4,3,4,Zara; Brooks Brothers,Quality,Probably,Premium Quality; Word of Mouth,Likely,Probably Would,Sustainable materials
R3717,2025-03-15 16:26,451,55+,Prefer not to say,Dubai,Southeast Asian,"10,001–20,000",Self-employed,Occasionally,Office; Weddings; Business Meetings; Parties; Formal Dinners,Cufflinks,Every 3 months,Shopping Mall,Physical Store,AED 201–300,AED 25–50,Price,4,3,5,5,5,4,5,1,H&M; Massimo Dutti; Hugo Boss,Design,Probably,Introductory Discounts; Social Media Reviews; Influencer Recommendations,Neutral,Not Sure,Exclusive limited editions
R2235,,381,18–24,Male,Sharjah,South Asian,"5,000–10,000",Private Employee,Daily,Weddings; Business Meetings; Parties,Ties; Dress Socks; Handkerchiefs; Belts,Monthly,Online Marketplace,Online,Above AED 300,Under AED 25,Brand Reputation,5,5,3,5,3,4,4,3,Zara,Prestige,Probably,Influencer Recommendations; Word of Mouth,Neutral,Not Sure,Durability and long-lasting material
R3290,2025-03-24 20:06,257,55+,Male,Sharjah,European,"5,000–10,000",Student,Occasionally,Office,Dress Socks; Belts,Only when needed,Shopping Mall,Physical Store,AED 50–100,AED 25–50,Comfort,5,4,4,2,3,4,5,3,Other,Customer Service,Not Sure,Premium Quality; Word of Mouth; Luxury Packaging,Very Unlikely,Definitely Would Not,Exclusive limited editions
R2782,2025-03-17 13:09,314,25–34,Female,Abu Dhabi,South Asian,"5,000–10,000",Self-employed,Once a week,Weddings,Dress Socks; Belts,Only when needed,Shopping Mall,Online,AED 50–100,Under AED 25,Price,2,4,5,2,2,2,3,3,Zara; H&M,Price,Probably,Premium Quality; Influencer Recommendations; Money-back Guarantee,Unlikely,Probably Would Not,Value for money
R3503,2025-02-17 19:56,409,45–54,Male,Abu Dhabi,Emirati,"Under 5,000",Student,Rarely,Office; Weddings; Parties,Pocket Squares,Only when needed,Shopping Mall,Physical Store,Under AED 50,Under AED 25,Price,3,4,3,2,4,4,3,3,Other,Price,Definitely Not,Introductory Discounts; Influencer Recommendations; Word of Mouth,Very Unlikely,Definitely Would Not,Strong brand reputation
R1361,2025-02-04 00:38,90,18–24,Male,Abu Dhabi,Arab Expat,"10,001–20,000",Government Employee,3–5 times/week,Office; Weddings; Business Meetings; Religious Events; Formal Dinners,Ties; Pocket Squares; Dress Socks; Cufflinks; Belts,Only when needed,Department Store,Online,AED 101–200,Under AED 25,Durability,5,5,5,5,3,4,4,4,H&M,Quality,Probably Not,Premium Quality; Luxury Packaging,Unlikely,Probably Would Not,Good customer service
R2910,2025-02-19 15:28,257,Under 18,Male,Umm Al Quwain,Southeast Asian,"5,000–10,000",Business Owner,Occasionally,Never,Ties; Belts,Only when needed,Tailor/Boutique,Physical Store,AED 50–100,Under AED 25,Price,3,3,3,1,4,4,4,4,Zara; Massimo Dutti,Price,Definitely Not,Introductory Discounts; Influencer Recommendations; Money-back Guarantee,Very Unlikely,Definitely Would Not,Local UAE identity
R3532,2025-02-20 22:14,91,35–44,Male,Dubai,South Asian,"20,001–35,000",Business Owner,Daily,Office; Business Meetings; Religious Events; Formal Dinners,Pocket Squares; Dress Socks; Cufflinks,Every 6 months,Brand Store,Physical Store,AED 201–300,AED 25–50,Brand Reputation,3,4,5,4,3,5,4,1,Other,Quality,Definitely,Premium Quality; Money-back Guarantee,Very Likely,Definitely Would,Strong brand reputation
R1206,2025-03-18 12:20,454,18–24,Male,Dubai,Emirati,"5,000–10,000",Private Employee,Daily,Business Meetings; Parties,Ties; Dress Socks; Belts,Every 3 months,Online Marketplace,Physical Store,AED 50–100,Above AED 75,Brand Reputation,3,4,5,3,4,5,4,2,Massimo Dutti,Prestige,Definitely,Introductory Discounts; Premium Quality; Word of Mouth,Very Likely,Definitely Would,Premium fabric quality
R1440,2025-02-12 06:05,655,45–54,Male,Abu Dhabi,Emirati,"Under 5,000",Student,Occasionally,Parties; Religious Events,Handkerchiefs,Only when needed,Department Store,Physical Store,Under AED 50,AED 25–50,Design,3,5,3,1,4,5,3,2,Zara; H&M,Price,Definitely,Social Media Reviews; Luxury Packaging; Money-back Guarantee,Unlikely,Probably Would Not,Exclusive limited editions
R1694,2025-02-12 17:17,336,45–54,Male,Abu Dhabi,Emirati,"5,000–10,000",Government Employee,Daily,Office; Weddings; Parties; Formal Dinners,Ties; Dress Socks,Once a year,Brand Store,No Preference,AED 50–100,AED 25–50,Design,3,5,3,5,3,4,3,3,Hugo Boss,Quality,Probably,Premium Quality; Influencer Recommendations,Unlikely,Probably Would Not,Affordable pricing
R1454,2025-02-23 21:24,295,18–24,Prefer not to say,Abu Dhabi,Arab Expat,"Under 5,000",Government Employee,3–5 times/week,Office; Business Meetings,Ties; Dress Socks; Cufflinks; Belts,Monthly,Tailor/Boutique,No Preference,AED 50–100,Under AED 25,Design,4,3,3,5,3,4,5,2,H&M,Customer Service,Probably,Introductory Discounts; Premium Quality; Word of Mouth,Neutral,Not Sure,Exclusive limited editions
R3961,2025-02-28 23:58,273,55+,Male,Dubai,South Asian,"20,001–35,000",Private Employee,Occasionally,Business Meetings; Formal Dinners,Pocket Squares; Dress Socks; Cufflinks; Belts,Monthly,Brand Store,Physical Store,AED 50–100,AED 51–75,Comfort,5,4,5,5,5,4,4,3,Zara; H&M; Massimo Dutti; Hugo Boss,Design,Not Sure,Premium Quality; Money-back Guarantee,Neutral,Not Sure,Local UAE identity
R1372,2025-03-10 01:15,60,25–34,Female,Fujairah,Southeast Asian,"20,001–35,000",Private Employee,Once a week,Office; Weddings; Business Meetings; Parties; Religious Events,Ties; Pocket Squares; Dress Socks; Cufflinks; Belts,Monthly,Brand Website,Physical Store,AED 201–300,AED 25–50,Design,5,4,4,5,5,4,3,4,Massimo Dutti; Hugo Boss; Charles Tyrwhitt,Design,Not Sure,Social Media Reviews; Influencer Recommendations; Money-back Guarantee,Unlikely,Probably Would Not,Exclusive limited editions
R3024,2025-02-18 02:37,559,25–34,Male,Dubai,South Asian,"Above 35,000",Government Employee,Once a week,Never,Ties; Pocket Squares; Dress Socks; Handkerchiefs; Cufflinks; Belts,Every 3 months,Brand Store,Online,AED 201–300,AED 51–75,Brand Reputation,5,5,5,4,3,4,3,5,Other,Customer Service,Not Sure,Premium Quality,Neutral,Not Sure,Exclusive limited editions
R3971,2025-02-17 21:18,308,35–44,Male,Dubai,South Asian,"Above 35,000",Self-employed,Occasionally,Office; Weddings; Formal Dinners,Ties; Cufflinks; Belts,Monthly,Tailor/Boutique,No Preference,AED 201–300,AED 25–50,Fabric Quality,5,4,5,5,4,5,5,3,Zara,Quality,Definitely,Social Media Reviews; Luxury Packaging; Money-back Guarantee,Likely,Probably Would,Luxury packaging
R2463,2025-03-04 02:53,8,25–34,Female,Ajman,Southeast Asian,"10,001–20,000",Private Employee,Occasionally,Office; Weddings; Business Meetings,Ties; Belts,Every 3 months,Brand Store,No Preference,AED 50–100,Under AED 25,Comfort,5,3,4,3,4,4,2,2,Hugo Boss,Price,Probably,Word of Mouth; Money-back Guarantee,Unlikely,Probably Would Not,Fast and reliable delivery
R3433,2025-03-19 19:11,444,25–34,Male,Abu Dhabi,European,"Under 5,000",Student,Rarely,Never,None,Only when needed,Online Marketplace,No Preference,AED 101–200,AED 25–50,Design,2,4,5,4,3,2,3,1,Other,Design,Probably Not,Influencer Recommendations,Very Unlikely,Definitely Would Not,Unique and elegant designs
R3066,2025-03-24 02:28,277,25–34,Male,Dubai,GCC,"5,000–10,000",Other,Rarely,Never,Pocket Squares,Once a year,Shopping Mall,Online,Under AED 50,Under AED 25,Durability,4,3,3,4,5,5,3,2,Zara,Price,Probably,Introductory Discounts; Word of Mouth; Luxury Packaging,Unlikely,Not Sure,Durability and long-lasting material
R3116,2025-03-11 00:20,307,25–34,Male,Abu Dhabi,South Asian,"Under 5,000",Student,Occasionally,Never,None,Once a year,Online Marketplace,Physical Store,Under AED 50,AED 25–50,Fabric Quality,2,3,2,4,3,5,5,1,Zara; H&M; Hugo Boss,Price,Not Sure,Introductory Discounts; Premium Quality; Influencer Recommendations,Very Unlikely,Definitely Would Not,Value for money
R2098,2025-03-03 13:51,294,45–54,Male,Dubai,South Asian,"10,001–20,000",Self-employed,Once a week,Office; Religious Events,Dress Socks; Handkerchiefs,Only when needed,Shopping Mall,Online,Under AED 50,AED 25–50,Price,4,4,2,3,5,4,3,4,H&M,Price,Probably,Introductory Discounts; Word of Mouth,Neutral,Not Sure,Premium fabric quality
R3364,2025-02-23 10:13,474,35–44,Female,Abu Dhabi,Emirati,"20,001–35,000",Private Employee,Occasionally,Office; Weddings; Business Meetings; Parties; Formal Dinners,Pocket Squares; Dress Socks; Handkerchiefs,Every 3 months,Brand Store,Online,AED 101–200,AED 51–75,Fabric Quality,5,4,5,5,5,4,5,5,Massimo Dutti,Quality,Probably,Premium Quality; Social Media Reviews; Money-back Guarantee,Likely,Probably Would,Trustworthy after-sales support
R3464,2025-02-05 14:06,311,25–34,Male,Abu Dhabi,GCC,"10,001–20,000",Self-employed,Occasionally,Office; Weddings; Parties; Religious Events,Ties; Cufflinks; Belts,Only when needed,Shopping Mall,Online,AED 201–300,AED 25–50,Price,5,4,5,2,4,3,4,5,Zara; H&M; Hugo Boss; Charles Tyrwhitt; Brooks Brothers,Design,Definitely,Premium Quality; Money-back Guarantee,Neutral,Not Sure,Luxury packaging
R2868,2025-03-31 06:28,191,25–34,Male,Abu Dhabi,Southeast Asian,"Above 35,000",Private Employee,Once a week,Business Meetings; Religious Events,Pocket Squares; Dress Socks; Cufflinks,Every 3 months,Brand Website,Online,Above AED 300,AED 51–75,Brand Reputation,5,5,4,5,4,5,3,2,Hugo Boss,Prestige,Definitely,Premium Quality; Luxury Packaging,Very Likely,Definitely Would,Luxury packaging
R3100,2025-02-20 06:46,322,35–44,Male,Dubai,GCC,"Above 35,000",Private Employee,Once a week,Weddings; Formal Dinners,Ties; Pocket Squares; Dress Socks; Cufflinks; Belts,Every 3 months,Shopping Mall,Physical Store,AED 201–300,AED 25–50,Design,4,4,5,4,3,5,5,5,Hugo Boss; Brooks Brothers,Price,Probably Not,Social Media Reviews; Word of Mouth; Money-back Guarantee,Unlikely,Probably Would Not,Strong brand reputation
R1704,2025-02-13 14:26,280,25–34,Male,Abu Dhabi,South Asian,"10,001–20,000",Private Employee,3–5 times/week,Office; Weddings; Business Meetings; Parties; Religious Events; Formal Dinners,Ties; Handkerchiefs,Monthly,Brand Store,Online,Above AED 300,AED 25–50,Fabric Quality,5,5,3,3,4,5,4,2,Massimo Dutti; Brooks Brothers,Quality,Definitely,Premium Quality; Word of Mouth; Luxury Packaging,Very Likely,Definitely Would,Wide variety of designs
R3014,2025-02-17 22:21,144,25–34,Male,Dubai,Other,"10,001–20,000",Self-employed,Rarely,Business Meetings,Ties; Dress Socks; Handkerchiefs; Cufflinks,Only when needed,Brand Store,Physical Store,AED 201–300,AED 25–50,Price,4,3,3,4,3,5,5,5,Other,Design,Probably,Social Media Reviews; Money-back Guarantee,Likely,Probably Would,Strong brand reputation
R1430,2025-03-06 17:03,334,45–54,Male,Dubai,Arab Expat,"Above 35,000",Private Employee,3–5 times/week,Office; Weddings; Business Meetings,Ties; Pocket Squares; Belts,Only when needed,Online Marketplace,Physical Store,AED 101–200,Under AED 25,Fabric Quality,3,5,5,4,5,4,4,5,H&M; Hugo Boss,Design,Not Sure,Premium Quality; Influencer Recommendations; Money-back Guarantee,Neutral,Not Sure,Trustworthy after-sales support
R2650,2025-03-15 00:31,410,25–34,Female,Sharjah,Southeast Asian,"5,000–10,000",Self-employed,3–5 times/week,Office; Formal Dinners,Cufflinks,Only when needed,Tailor/Boutique,No Preference,AED 50–100,AED 25–50,Comfort,5,5,5,4,3,5,4,5,Massimo Dutti,Quality,Definitely,Introductory Discounts; Social Media Reviews; Money-back Guarantee,Likely,Probably Would,Value for money
R2127,2025-04-01 00:02,583,35–44,Male,Abu Dhabi,African,"20,001–35,000",Business Owner,3–5 times/week,Weddings; Business Meetings; Parties,Ties; Pocket Squares; Dress Socks; Belts,Monthly,Department Store,Online,Above AED 300,AED 51–75,Design,5,5,3,3,5,5,5,2,Zara; Massimo Dutti,Prestige,Definitely,Introductory Discounts; Influencer Recommendations; Luxury Packaging,Very Likely,Definitely Would,Fast and reliable delivery
R3071,2025-03-28 23:16,301,25–34,Male,Abu Dhabi,South Asian,"20,001–35,000",Business Owner,Rarely,Business Meetings; Parties,Ties; Pocket Squares; Dress Socks; Handkerchiefs; Cufflinks; Belts,Every 3 months,Brand Store,Online,AED 201–300,AED 51–75,Price,4,4,2,2,4,5,4,5,Zara; Massimo Dutti; Brooks Brothers,Price,Not Sure,Premium Quality; Word of Mouth; Luxury Packaging,Unlikely,Probably Would Not,Strong brand reputation
R3418,2025-03-25 11:39,391,18–24,Male,Dubai,European,"Under 5,000",Private Employee,Rarely,Religious Events,Belts,Every 3 months,Tailor/Boutique,Physical Store,AED 101–200,AED 25–50,Price,4,2,4,2,3,3,3,4,H&M; Massimo Dutti,Customer Service,Probably,Introductory Discounts; Premium Quality; Social Media Reviews,Unlikely,Probably Would Not,Luxury packaging
R3157,2025-03-03 04:34,416,25–34,Male,Dubai,GCC,"5,000–10,000",Student,Rarely,Weddings,Ties; Dress Socks; Handkerchiefs; Belts,Monthly,Shopping Mall,Online,Under AED 50,Under AED 25,Price,2,4,3,3,5,5,5,1,Other,Quality,Not Sure,Introductory Discounts,Very Unlikely,Definitely Would Not,Durability and long-lasting material
R2382,2025-03-20 17:05,378,25–34,Male,Ras Al Khaimah,South Asian,"5,000–10,000",Private Employee,Once a week,Never,Ties; Dress Socks; Handkerchiefs; Cufflinks; Belts,Every 6 months,Shopping Mall,Physical Store,Above AED 300,AED 25–50,Durability,3,5,3,5,5,3,4,3,Other,Price,Definitely Not,Introductory Discounts; Social Media Reviews; Money-back Guarantee,Very Unlikely,Definitely Would Not,Value for money
R1121,2025-02-10 01:54,333,35–44,Male,Dubai,Other,"Above 35,000",Self-employed,Once a week,Office; Weddings; Parties; Religious Events; Formal Dinners,Pocket Squares; Dress Socks; Cufflinks,Monthly,Brand Website,Physical Store,AED 101–200,AED 25–50,Brand Reputation,5,3,3,3,4,3,4,5,Hugo Boss; Charles Tyrwhitt,Quality,Definitely Not,Social Media Reviews; Luxury Packaging; Money-back Guarantee,Unlikely,Not Sure,Local UAE identity
R2337,2025-03-27 07:37,429,35–44,Male,Abu Dhabi,African,"Under 5,000",Student,Rarely,Weddings; Religious Events; Formal Dinners,Dress Socks,Only when needed,Online Marketplace,No Preference,Under AED 50,AED 51–75,Price,3,2,4,4,4,4,5,4,Massimo Dutti,Price,Probably,Introductory Discounts; Social Media Reviews,Unlikely,Probably Would Not,Sustainable materials
R2418,2025-02-26 07:42,257,45–54,Male,Abu Dhabi,South Asian,"5,000–10,000",Private Employee,3–5 times/week,Office; Parties,Cufflinks; Belts,Only when needed,Shopping Mall,Physical Store,AED 50–100,Under AED 25,Price,4,4,4,3,3,5,3,3,H&M,Product Variety,Definitely,Social Media Reviews; Influencer Recommendations; Word of Mouth,Neutral,Not Sure,Value for money
R2777,2025-02-07 12:06,225,25–34,Male,Ajman,Arab Expat,"Under 5,000",Student,Occasionally,Business Meetings; Formal Dinners,Ties; Cufflinks,Once a year,Brand Store,Online,AED 50–100,Above AED 75,Fabric Quality,5,4,3,3,5,3,4,1,Zara; H&M,Price,Not Sure,Introductory Discounts; Word of Mouth,Very Unlikely,Definitely Would Not,Luxury packaging
R1857,2025-03-16 09:36,327,45–54,Male,Dubai,Emirati,"10,001–20,000",Private Employee,Occasionally,Office; Weddings; Formal Dinners,Ties; Pocket Squares; Handkerchiefs,Monthly,Department Store,No Preference,AED 50–100,Under AED 25,Price,4,4,3,4,4,4,4,2,Hugo Boss,Price,Probably,Introductory Discounts; Social Media Reviews; Word of Mouth,Neutral,Not Sure,Affordable pricing
